1/4/2011,I-10 W & West End Blvd Exit
1/4/2011,Acacia St & Clematis St
1/6/2011,Soraparu St & Tchoupitoulas St
1/9/2011,O'Keefe Exit & Us90B W
1/9/2011,Tchoupitoulas Exit & Us90B E
1/9/2011,Gen De Gaulle Dr & Westbank Expw
1/9/2011,Tchoupitoulas Exit & Us90B E
1/16/2011,Canal St & Dauphine St
1/28/2011,Conti St & Dauphine St
1/29/2011,Us 90B/Gen De Gualle
1/29/2011,Birch St & Joliet St
2/2/2011,John Churchill Chase & Tchoupito
2/4/2011,X Ccc Out 
2/4/2011,De Saix Blvd & Moss St
2/5/2011,Bienville St & Dauphine St
2/7/2011,Canal St & Dauphine St
2/10/2011,Bullard Exit & I-10 E
2/12/2011,Filmore Ave & Gen Diaz St
2/15/2011,Canal St & Dauphine St
2/16/2011,Gen De Gaulle Dr & Westbank Expw
2/20/2011,I-10 W & West End Blvd Exit
2/23/2011,I-10 E & Metairie Rd Exit
2/24/2011,Gen De Gaulle Dr & Westbank Expw
3/7/2011,S Claiborne Exit & Us90B W
3/19/2011,I-10 W & West End Blvd Exit
3/19/2011,Soraparu St & Tchoupitoulas St
3/24/2011,Gen De Gaulle Dr & Westbank Expw
4/9/2011,Filmore Ave & Wisner Blvd
4/10/2011,I-10 W & West End Blvd Exit
4/11/2011,I-10 E & Morrison Exit
4/11/2011,Camp St & Us90B E
4/12/2011,Chef Menteur Exit & I-510 S
4/18/2011,Chef Menteur Hwy & France Rd
4/21/2011,Magazine/Tearoom
4/27/2011,I-10 E & Michoud Blvd
4/29/2011,Edenboro Rd & Lake Forest Blvd
5/2/2011,I-10 W & West End Blvd Exit
5/8/2011,I-10 E & Us90B W
5/8/2011,I-10 W & West End Blvd Exit
5/12/2011,I-10 W & West End Blvd Exit
5/13/2011,Barracks St & N Peters St
5/15/2011,Crowder Blvd Exit & I-10 E
5/28/2011,Convention Center Blvd & St Jose
5/29/2011,Gov Nicholls St & N Peters St
5/31/2011,Tchoupitoulas Exit & Us90B E
6/2/2011,Filmore Ave & Marconi Dr
6/3/2011,I-10 E & Metairie Rd Exit
6/4/2011,Chef Menteur Exit & I-10 E
6/8/2011,Ridgeway Blvd & Ridgeway Blvd Ex
6/16/2011,I-10 W & West End Blvd Exit
6/20/2011,Esplanade Ave & St Claude Ave
6/29/2011,I-10 W & West End Blvd Exit
7/1/2011,Broad St Exit & I-610 W
7/3/2011,I-10 E & Us90B E
7/5/2011,Oretha Castle Haley Blvd & St An
7/5/2011,S Broad St & Toledano St
7/10/2011,Basin Exit & N Robertson St
7/11/2011,I-10E & Irish Bayou
7/13/2011,I-10 W & West End Blvd Exit
7/15/2011,I-610 W & Paris Ave Exit
7/16/2011,De Saix Blvd & Tensas St
7/20/2011,Chelsea Dr & Patterson Dr
7/27/2011,S Carrollton Exit & Dublin St
7/30/2011,Tchoupitoulas Exit & Us90B E
7/30/2011,Barracks St & N Peters St
8/12/2011,Gen De Gaulle/Pont
8/13/2011,D'Hemecourt St & S Jeff Davis Pk
8/14/2011,I-10 W & Tulane Ave Onramp
8/20/2011,I-10 W & Morrison Rd Onramp
8/20/2011,Diagonal Dr & Harrison Ave
8/21/2011,S Carrollton Exit & I-10 W Onram
8/26/2011,I-10 E & Morrison Exit
8/27/2011,Barracks St & N Peters St
8/27/2011,Carondelet St & Us90B E
8/27/2011,I-10 W & Michoud Blvd Exit
8/28/2011,Tchoupitoulas Exit & Us90B E
8/31/2011,I-10 W & West End Blvd Exit
9/1/2011,S Claiborne Exit & Us90B W
9/9/2011,I-10 W & West End Blvd Exit
9/11/2011,S Claiborne Exit & Us90B W
9/12/2011,1700 Highrise 
9/15/2011,X Ccc Out 
9/26/2011,X Ccc Out 
9/28/2011,Howard Ave & St Charles Ave
9/29/2011,Canal Exit & I-610 E
10/2/2011,Le Boeuf St & Newton St
10/3/2011,I-10 W & West End Blvd Exit
10/12/2011,I-10 W & West End Blvd Exit
10/15/2011,Gen De Gaulle Dr & Westbank Expw
10/17/2011,I-10 W & West End Blvd Exit
10/18/2011,I-10 W & West End Blvd Exit
10/22/2011,S Claiborne Exit & Us90B E
10/24/2011,I-10 W & West End Blvd Exit
10/29/2011,Constitution St & Hebert Dr
10/30/2011,S Claiborne Exit & Us90B E
11/12/2011,I-10 W & West End Blvd Exit
11/16/2011,Dufossat St & Tchoupitoulas St
11/30/2011,Gen De Gaulle Dr & Westbank Expy
12/3/2011,Gen De Gaulle Dr & Westbank Expy
12/3/2011,S Claiborne Exit & Us90B E
12/10/2011,S Claiborne Exit & Us90B E
12/10/2011,City Park Exit & I-10 W
12/14/2011,S Broad Overpass & Us90B W
12/15/2011,Lakeshore Dr & Paris Ave
12/19/2011,Filmore Ave & Spain St
12/20/2011,Canal Blvd & Homedale Ave
12/28/2011,O'Keefe Exit & Us90B W
12/30/2011,Gen De Gaulle Dr & Westbank Expw
12/30/2011,Filmore Ave & Wisner Blvd
